id,reading,answer,example,category,level
1,あいさつ,挨拶,朝のあいさつをする,日常,3
2,ふんいき,雰囲気,店のふんいきがいい,日常,3
3,りょうしゅうしょ,領収書,りょうしゅうしょをもらう,買い物,3
4,ふうとう,封筒,ふうとうに手紙を入れる,日常,3
5,いんかん,印鑑,いんかんを押す,手続き,3
6,かんきせん,換気扇,かんきせんを回す,家,3
7,げんかん,玄関,げんかんに靴を置く,家,3
8,ろうか,廊下,ろうかを歩く,家,3
9,じゅうたい,渋滞,じゅうたいに巻き込まれる,交通,3
10,めんきょ,免許,めんきょを更新する,交通,3
11,かいさつ,改札,かいさつを通る,交通,3
12,うんちん,運賃,うんちんを払う,交通,3
13,せいきゅう,請求,料金をせいきゅうする,仕事,3
14,ふっとう,沸騰,お湯がふっとうする,料理,3
15,しょうゆ,醤油,しょうゆを少しかける,料理,3
16,しっけ,湿気,部屋のしっけが多い,家,3
17,しょほう,処方,薬をしょほうしてもらう,病院,3
18,すいみん,睡眠,十分なすいみんをとる,健康,3
19,てんぷ,添付,メールに資料をてんぷする,仕事,3
20,すいせん,推薦,候補者をすいせんする,仕事,3
21,そうじ,掃除,週末に部屋を掃除する,日常,1
22,せんたく,洗濯,朝のうちに洗濯を済ませる,日常,1
23,かんそう,乾燥,冬は空気が乾燥しやすい,日常,1
24,しゅうのう,収納,押し入れの収納を見直す,日常,2
25,せいり,整理,机の上を整理する,日常,1
26,せいとん,整頓,使った道具を整頓する,日常,2
27,しゅうり,修理,壊れた時計を修理に出す,日常,1
28,こしょう,故障,エアコンが突然故障した,日常,2
29,せつでん,節電,使わない照明を消して節電する,日常,1
30,だんぼう,暖房,寒いので暖房をつける,日常,2
31,れいぼう,冷房,暑くなったので冷房を入れる,日常,1
32,しょうめい,照明,部屋の照明を明るくする,日常,2
33,かんでんち,乾電池,時計の乾電池を交換する,日常,2
34,じゅうでん,充電,寝る前にスマホを充電する,日常,1
35,せっちゃくざい,接着剤,外れた部品を接着剤で直す,日常,2
36,かびとり,カビ取り,浴室のカビ取りをする,家,1
37,しょうしゅう,消臭,玄関の消臭対策をする,日常,2
38,だっしゅう,脱臭,冷蔵庫の脱臭剤を交換する,日常,2
39,せんざい,洗剤,食器用の洗剤を買い足す,日常,1
40,ひょうはく,漂白,白い布巾を漂白する,日常,3
41,ざいこ,在庫,商品の在庫を確認する,買い物,2
42,ざんだか,残高,口座の残高を確認する,買い物,2
43,りょうがえ,両替,千円札を小銭に両替する,買い物,2
44,わりびき,割引,会員限定の割引を利用する,買い物,1
45,へんぴん,返品,サイズが合わず商品を返品した,買い物,2
46,こうかん,交換,不良品を新しい商品と交換する,買い物,1
47,ほしょう,保証,家電の保証期間を確認する,買い物,2
48,ぜいこみ,税込,表示価格は税込です,買い物,1
49,ぜいぬき,税抜,税抜価格を確認する,買い物,1
50,しょうひんけん,商品券,お祝いでもらった商品券を使う,買い物,1
51,こうにゅう,購入,必要な文房具を購入する,買い物,1
52,ちゅうもん,注文,店員に飲み物を注文する,買い物,1
53,はいそう,配送,荷物の配送状況を確認する,買い物,2
54,そうりょう,送料,一定額以上なら送料が無料になる,買い物,2
55,ひんぎれ,品切れ,欲しかった商品が品切れだった,買い物,1
56,ていきけん,定期券,駅で定期券を更新する,交通,1
57,じょうしゃけん,乗車券,券売機で乗車券を買う,交通,1
58,のりかえ,乗換,次の駅で地下鉄に乗換する,交通,2
59,しゅうでん,終電,帰りの終電の時刻を調べる,交通,1
60,しはつ,始発,朝一番の始発に乗る,交通,1
61,うんきゅう,運休,大雨のため電車が運休になった,交通,2
62,ちえん,遅延,事故で電車に遅延が出ている,交通,2
63,じょこう,徐行,工事区間を徐行して通る,交通,3
64,うかい,迂回,渋滞を避けて別の道へ迂回する,交通,3
65,ほこうしゃ,歩行者,横断歩道では歩行者を優先する,交通,1
66,ちゅうしゃ,駐車,指定された場所に駐車する,交通,2
67,ちゅうりん,駐輪,自転車を駐輪場に止める,交通,2
68,しゃせん,車線,右側の車線に移る,交通,2
69,おうだん,横断,横断歩道を渡る,交通,1
70,しんごう,信号,信号が青になってから渡る,交通,1
71,ていしゅつ,提出,書類を期限までに提出する,仕事,1
72,しめきり,締切,申し込みの締切を確認する,仕事,2
73,きげん,期限,支払い期限を忘れないようにする,仕事,1
74,しょうにん,承認,上司の承認を得る,仕事,2
75,しょうさい,詳細,予定の詳細をメールで確認する,仕事,2
76,がいとう,該当,条件に該当する項目を選ぶ,仕事,3
77,きさい,記載,申込書に住所を記載する,仕事,2
78,てんき,転記,資料の数字を表に転記する,仕事,2
79,ていせい,訂正,間違っていた箇所を訂正する,仕事,2
80,さくじょ,削除,不要なファイルを削除する,仕事,2
81,ほぞん,保存,作成した文書を保存する,仕事,1
82,いんさつ,印刷,必要な資料を印刷する,仕事,1
83,へんしん,返信,届いたメールに返信する,仕事,1
84,てんそう,転送,メールを担当者に転送する,仕事,2
85,そうしん,送信,確認してからメールを送信する,仕事,1
86,じゅしん,受信,新しいメールを受信する,仕事,1
87,けんめい,件名,メールの件名を入力する,仕事,2
88,あてさき,宛先,送信前に宛先を確認する,仕事,3
89,しょめい,署名,書類の最後に署名する,仕事,2
90,おういん,押印,確認後に書類へ押印する,仕事,3
91,しんせい,申請,窓口で証明書を申請する,手続き,1
92,こうしん,更新,免許証の更新手続きをする,手続き,1
93,ゆうこうきげん,有効期限,カードの有効期限を確認する,手続き,1
94,ほんにんかくにん,本人確認,受付で本人確認を行う,手続き,1
95,しょうめいしょ,証明書,窓口で証明書を受け取る,手続き,2
96,じゅうみんひょう,住民票,役所で住民票を取得する,手続き,2
97,こせき,戸籍,手続きに戸籍の書類が必要になる,手続き,2
98,いにんじょう,委任状,代理人に委任状を渡す,手続き,3
99,けいやく,契約,内容を確認してから契約する,手続き,1
100,かいやく,解約,使わないサービスを解約する,手続き,1
101,しょうみきげん,賞味期限,食品の賞味期限を確認する,料理,2
102,しょうひきげん,消費期限,弁当の消費期限を確認する,料理,2
103,れいとう,冷凍,余った肉を冷凍して保存する,料理,1
104,かいとう,解凍,冷凍した肉を冷蔵庫で解凍する,料理,1
105,ちょうみりょう,調味料,料理に使う調味料をそろえる,料理,2
106,さとう,砂糖,紅茶に砂糖を少し入れる,料理,1
107,しお,塩,味を見ながら塩を加える,料理,1
108,こむぎこ,小麦粉,小麦粉を量ってボウルに入れる,料理,1
109,かたくりこ,片栗粉,とろみをつけるため片栗粉を使う,料理,2
110,しょうが,生姜,料理に刻んだ生姜を加える,料理,2
111,しんさつ,診察,病院で医師の診察を受ける,病院,1
112,よやく,予約,病院の診察を予約する,病院,1
113,うけつけ,受付,病院の受付で名前を伝える,病院,1
114,しょほうせん,処方箋,薬局に処方箋を持っていく,病院,3
115,やっきょく,薬局,病院の帰りに薬局へ寄る,病院,1
116,けんさ,検査,病院で血液検査を受ける,病院,1
117,けつあつ,血圧,毎朝同じ時間に血圧を測る,健康,1
118,たいおん,体温,体調が悪いので体温を測る,健康,1
119,すいぶん,水分,こまめに水分を補給する,健康,1
120,ひろう,疲労,十分に休んで疲労を回復する,健康,2
121,せんぬき,栓抜き,瓶のふたを栓抜きで開ける,料理,2
122,ほうちょう,包丁,包丁で野菜を切る,料理,1
123,まないた,まな板,使ったまな板をよく洗う,料理,1
124,なべ,鍋,鍋に水を入れて火にかける,料理,1
125,ふきんかけ,布巾掛け,使った布巾を布巾掛けに干す,家,2
126,にこむ,煮込む,弱火で具材をじっくり煮込む,料理,2
127,いためる,炒める,野菜を油でさっと炒める,料理,2
128,むす,蒸す,野菜を蒸して柔らかくする,料理,2
129,あげる,揚げる,油でからりと揚げる,料理,2
130,もりつけ,盛り付け,料理を皿にきれいに盛り付ける,料理,2
131,しるもの,汁物,夕食に温かい汁物を添える,料理,2
132,すいはん,炊飯,朝食に合わせて炊飯を予約する,料理,2
133,たく,炊く,夕食用のご飯を炊く,料理,2
134,こしょう,胡椒,仕上げに胡椒を少し振る,料理,3
135,す,酢,酢を使ってさっぱり味にする,料理,2
136,みそ,味噌,味噌を溶いてみそ汁を作る,料理,2
137,とうふ,豆腐,豆腐を食べやすい大きさに切る,料理,1
138,たまねぎ,玉ねぎ,玉ねぎを薄く切って炒める,料理,1
139,れんこん,れん根,れん根を薄切りにして煮る,料理,2
140,ほししいたけ,干し椎茸,干し椎茸を水で戻して煮物に使う,料理,3
141,ふとん,布団,天気がいいので布団を干す,家,1
142,まくら,枕,寝る前に枕の高さを調整する,家,2
143,もうふ,毛布,寒い夜は毛布を一枚追加する,家,1
144,しょうじ,障子,破れた障子を張り替える,家,2
145,あみど,網戸,暑いので網戸にして風を通す,家,2
146,せんめんじょ,洗面所,洗面所の鏡を拭く,家,1
147,よくしつ,浴室,入浴後に浴室を換気する,家,2
148,だいどころ,台所,台所をきれいに片付ける,家,1
149,じゃぐち,蛇口,蛇口をしっかり閉める,家,3
150,はいすいこう,排水口,排水口のごみを取り除く,家,2
151,せんたくもの,洗濯物,洗濯物をベランダに干す,家,1
152,ものほしざお,物干し竿,物干し竿に洗濯物を掛ける,家,2
153,そうじき,掃除機,掃除機をかけて床のほこりを取る,家,1
154,ぞうきん,雑巾,雑巾で床を水拭きする,家,2
155,ほこり,埃,棚の上に埃がたまっている,家,3
156,けつろ,結露,窓についた結露を拭き取る,家,2
157,だんねつ,断熱,窓の断熱対策をする,家,2
158,かぎ,鍵,出かける前に鍵を確認する,家,2
159,とじまり,戸締まり,寝る前に戸締まりを確認する,家,2
160,るすばん,留守番,家族が帰るまで留守番をする,家,1
161,きゅうよ,給与,今月の給与明細を確認する,仕事,2
162,きゅうりょう,給料,給料が口座に振り込まれる,仕事,1
163,ざんぎょう,残業,今日は一時間だけ残業する,仕事,2
164,きゅうけい,休憩,昼に一時間の休憩を取る,仕事,1
165,ちこく,遅刻,電車の遅延で会社に遅刻した,仕事,1
166,そうたい,早退,体調が悪く仕事を早退する,仕事,2
167,けっきん,欠勤,欠勤することを職場に連絡する,仕事,2
168,しゅっきん,出勤,朝八時半に出勤する,仕事,1
169,たいきん,退勤,仕事を終えて定時に退勤する,仕事,2
170,きんむ,勤務,来月の勤務予定を確認する,仕事,1
171,たんとう,担当,担当者に内容を確認する,仕事,1
172,ひきつぎ,引継ぎ,後任者へ仕事の引継ぎをする,仕事,2
173,かいぎ,会議,午後から会議に参加する,仕事,1
174,ぎじろく,議事録,会議の議事録を作成する,仕事,3
175,しりょう,資料,会議で使う資料を準備する,仕事,1
176,みつもり,見積もり,修理費用の見積もりを依頼する,仕事,2
177,みつもりしょ,見積書,取引先へ見積書を送る,仕事,2
178,のうき,納期,商品の納期を確認する,仕事,2
179,はっちゅう,発注,必要な備品を業者に発注する,仕事,2
180,じゅちゅう,受注,新しい仕事を受注する,仕事,2
181,こうざ,口座,銀行で新しい口座を開設する,手続き,1
182,ふりこみ,振込,指定された口座へ振込をする,手続き,2
183,ひきおとし,引き落とし,料金が口座から自動で引き落としされる,手続き,2
184,つうちょう,通帳,通帳に入出金の記録を残す,手続き,2
185,あんしょうばんごう,暗証番号,暗証番号を他人に教えない,手続き,2
186,てすうりょう,手数料,振込には手数料がかかる,手続き,2
187,こうざふりかえ,口座振替,電気料金を口座振替にする,手続き,2
188,しはらい,支払い,今月の支払いを確認する,手続き,1
189,にゅうきん,入金,口座への入金を確認する,手続き,1
190,せいきゅうしょ,請求書,取引先から請求書が届く,手続き,2
191,のうふ,納付,税金を期限までに納付する,手続き,2
192,ぜいきん,税金,毎年の税金を納める,手続き,1
193,しょとく,所得,一年間の所得を確認する,手続き,2
194,こうじょ,控除,医療費控除について調べる,手続き,3
195,かくていしんこく,確定申告,必要な書類をそろえて確定申告をする,手続き,2
196,てんきょ,転居,転居に伴う手続きを行う,手続き,2
197,てんにゅう,転入,役所で転入の届けを出す,手続き,2
198,てんしゅつ,転出,引っ越し前に転出の届けを出す,手続き,2
199,へんこう,変更,登録している住所を変更する,手続き,1
200,さいはっこう,再発行,紛失したカードを再発行してもらう,手続き,2
201,しょうじょう,症状,診察で現在の症状を伝える,病院,2
202,ずつう,頭痛,朝から頭痛が続いている,健康,1
203,ふくつう,腹痛,急な腹痛で少し休む,健康,1
204,はつねつ,発熱,夜になって発熱した,健康,1
205,せき,咳,咳が続くので病院へ行く,健康,2
206,はなみず,鼻水,風邪で鼻水が止まらない,健康,1
207,のど,喉,乾燥して喉が痛い,健康,3
208,めまい,眩暈,急に眩暈がしたので座って休む,健康,3
209,はきけ,吐き気,急に吐き気を感じた,健康,2
210,げり,下痢,おなかを壊して下痢が続く,健康,2
211,べんぴ,便秘,水分を取って便秘を防ぐ,健康,2
212,ねんざ,捻挫,段差で足首を捻挫した,健康,3
213,こっせつ,骨折,転倒して腕を骨折した,健康,2
214,しっぷ,湿布,痛む場所に湿布を貼る,病院,2
215,しょうどく,消毒,傷口をきれいにして消毒する,病院,2
216,ほうたい,包帯,けがをした部分に包帯を巻く,病院,2
217,けんこうしんだん,健康診断,年に一度健康診断を受ける,健康,1
218,よぼうせっしゅ,予防接種,病院で予防接種を受ける,病院,2
219,すいみんぶそく,睡眠不足,睡眠不足が続かないよう早めに寝る,健康,1
220,えいよう,栄養,栄養のバランスを考えて食事をする,健康,2
221,けしょう,化粧,出かける前に化粧をする,日常,1
222,かみそり,剃刀,剃刀を安全な場所にしまう,日常,3
223,くし,櫛,櫛で髪を整える,日常,3
224,かがみ,鏡,鏡を見ながら髪を整える,日常,2
225,せんぱつ,洗髪,入浴中に髪を洗髪する,日常,2
226,はみがき,歯磨き,寝る前に歯磨きをする,日常,1
227,はぶらし,歯ブラシ,古い歯ブラシを交換する,日常,1
228,ねぐせ,寝癖,朝起きたら寝癖を直す,日常,2
229,えり,襟,シャツの襟を整える,日常,3
230,そで,袖,シャツの袖をまくる,日常,2
231,すそ,裾,ズボンの裾を直してもらう,日常,3
232,くつした,靴下,新しい靴下を買う,日常,1
233,くつひも,靴紐,ほどけた靴紐を結び直す,日常,2
234,かさ,傘,雨が降りそうなので傘を持つ,日常,2
235,さいふ,財布,出かける前に財布を確認する,日常,2
236,こぜに,小銭,財布の中の小銭を数える,日常,1
237,にもつ,荷物,旅行の荷物をまとめる,日常,1
238,わすれもの,忘れ物,家を出る前に忘れ物がないか確認する,日常,1
239,ひるね,昼寝,休日に少し昼寝をする,日常,1
240,めざまし,目覚まし,目覚ましを六時半に設定する,日常,2
241,しょくひ,食費,今月の食費を計算する,買い物,1
242,こうねつひ,光熱費,冬は光熱費が高くなりやすい,買い物,2
243,せつやく,節約,無駄な出費を減らして節約する,買い物,1
244,しゅっぴ,出費,今月は予定外の出費が多かった,買い物,2
245,よさん,予算,旅行の予算を決める,買い物,1
246,げんきん,現金,念のため現金も持っていく,買い物,1
247,しへい,紙幣,財布の中の紙幣を確認する,買い物,2
248,こうか,硬貨,自動販売機に硬貨を入れる,買い物,2
249,ねあげ,値上げ,来月から商品の値上げが予定されている,買い物,1
250,ねさげ,値下げ,季節商品が値下げされていた,買い物,1
251,かかく,価格,購入前に商品の価格を比べる,買い物,1
252,たんか,単価,一個あたりの単価を確認する,買い物,2
253,ごうけい,合計,買い物の合計金額を確認する,買い物,1
254,せいさん,精算,セルフレジで代金を精算する,買い物,2
255,つりせん,釣銭,受け取った釣銭を確認する,買い物,3
256,こうにゅうりれき,購入履歴,通販サイトで購入履歴を見る,買い物,2
257,はんばい,販売,限定商品が店頭で販売される,買い物,1
258,にゅうか,入荷,売り切れの商品が再び入荷した,買い物,1
259,しょうひん,商品,気になる商品を手に取って見る,買い物,1
260,ひんしつ,品質,価格だけでなく品質も確認する,買い物,2
261,じょうきょう,状況,現在の状況を担当者に伝える,仕事,2
262,たいおう,対応,問い合わせにすぐ対応する,仕事,1
263,かくにん,確認,送信前に内容を確認する,仕事,1
264,れんらく,連絡,予定の変更を相手に連絡する,仕事,1
265,ほうこく,報告,作業の進み具合を上司に報告する,仕事,1
266,そうだん,相談,困ったことを同僚に相談する,仕事,1
267,ちょうせい,調整,参加者の予定を調整する,仕事,2
268,へんこうてん,変更点,前回からの変更点を説明する,仕事,1
269,かいとう,回答,問い合わせへの回答を送る,仕事,1
270,しつもん,質問,分からない点を担当者に質問する,仕事,1
271,いらい,依頼,資料の作成を同僚に依頼する,仕事,2
272,きょか,許可,上司から使用の許可をもらう,仕事,2
273,きょひ,拒否,不要な通知を拒否する設定にする,仕事,2
274,けんとう,検討,新しい案について検討する,仕事,2
275,はんだん,判断,状況を見て自分で判断する,仕事,1
276,ゆうせん,優先,急ぎの仕事を優先する,仕事,2
277,ほりゅう,保留,確認が取れるまで返事を保留する,仕事,2
278,かんりょう,完了,予定していた作業が完了した,仕事,1
279,みかんりょう,未完了,未完了の作業を一覧で確認する,仕事,1
280,しんちょく,進捗,作業の進捗を共有する,仕事,3
281,たくはい,宅配,宅配で荷物が届く,日常,1
282,はいたつ,配達,荷物の配達予定を確認する,日常,1
283,ふざい,不在,配達時に不在だったため持ち帰りになった,日常,1
284,さいはいたつ,再配達,荷物の再配達を申し込む,日常,2
285,うけとり,受取,荷物の受取日時を変更する,日常,1
286,はっそう,発送,注文した商品が発送された,日常,1
287,こんぽう,梱包,割れないよう丁寧に梱包する,日常,3
288,びんせん,便箋,便箋にお礼の手紙を書く,日常,2
289,ゆうびん,郵便,大切な書類を郵便で送る,日常,1
290,ゆうびんばんごう,郵便番号,住所と郵便番号を記入する,日常,1
291,はがき,葉書,旅行先から葉書を送る,日常,2
292,きって,切手,封筒に切手を貼る,日常,1
293,そくたつ,速達,急ぎの書類を速達で送る,日常,2
294,ちゃくばらい,着払い,荷物を着払いで発送する,日常,2
295,そうふ,送付,必要書類を郵送で送付する,仕事,2
296,へんそう,返送,記入した書類を返送する,仕事,2
297,どうふう,同封,返信用封筒を同封する,仕事,2
298,かいふう,開封,届いた封筒を開封する,日常,2
299,あてな,宛名,封筒に相手の宛名を書く,日常,3
300,けしいん,消印,封筒に押された消印の日付を見る,日常,3
301,こうさてん,交差点,次の交差点を右に曲がる,交通,1
302,ほどう,歩道,自転車を降りて歩道を歩く,交通,1
303,しゃどう,車道,車道に飛び出さないよう注意する,交通,1
304,ふみきり,踏切,踏切が開くまで待つ,交通,2
305,ていりゅうじょ,停留所,次の停留所でバスを降りる,交通,2
306,ろせん,路線,目的地までの路線を調べる,交通,2
307,じこくひょう,時刻表,駅で電車の時刻表を確認する,交通,1
308,かいそく,快速,快速電車に乗って移動する,交通,1
309,とっきゅう,特急,特急列車の指定席を予約する,交通,2
310,していせき,指定席,新幹線の指定席を取る,交通,1
311,じゆうせき,自由席,自由席の車両に乗る,交通,1
312,おうふく,往復,往復の切符をまとめて買う,交通,2
313,かたみち,片道,駅まで片道三十分かかる,交通,1
314,もくてきち,目的地,地図で目的地までの道を確認する,交通,1
315,げんざいち,現在地,地図アプリで現在地を確認する,交通,1
316,ほうこう,方向,駅員に出口の方向を尋ねる,交通,1
317,きょり,距離,家から駅までの距離を調べる,交通,2
318,こんざつ,混雑,朝の電車はとても混雑している,交通,2
319,まんいん,満員,満員の電車を一本見送る,交通,1
320,くうせき,空席,車内に空席があるか確認する,交通,2
321,れんきゅう,連休,連休を使って家族で出かける,日常,1
322,きゅうじつ,休日,休日は家でゆっくり過ごす,日常,1
323,へいじつ,平日,平日は朝早く家を出る,日常,1
324,よてい,予定,来週の予定を手帳に書く,日常,1
325,にってい,日程,旅行の日程を家族と相談する,日常,1
326,えんき,延期,雨のため行事が延期になった,日常,2
327,ちゅうし,中止,悪天候でイベントが中止になった,日常,1
328,けってい,決定,集合時間が正式に決定した,日常,1
329,とりけし,取消し,予約の取消し手続きをする,手続き,2
330,しゅうごう,集合,駅前に十時に集合する,日常,1
331,かいさん,解散,イベント終了後に現地で解散する,日常,1
332,ちゅうせん,抽選,人気商品の抽選に申し込む,日常,2
333,とうせん,当選,応募していたチケットに当選した,日常,1
334,らくせん,落選,残念ながら抽選に落選した,日常,1
